brand,class,gender,name,code,price
high sierra,mochila,unisex,tank pack morral,,2300
high sierra,mochila,unisex,appalachian 75l,,6690
high sierra,mochila,unisex,mochila,53639,1800
high sierra,mochila,unisex,mochila,53632,1490
high sierra,mochila,unisex,mochila,55021,2390
high sierra,mochila,unisex,sentinel 65l,,6200
high sierra,mochila,unisex,mochila,58413,2590
